| | Ilosc(L)                            
| |           Koszt           |  0=ON  |
| |         |          Cena(L)|  1=PB  |
| |         |        |        | Rodzaj |
| |         |        |        |        |
| | 00000101|00010100|00000100|00000001|
| | 00000110|00010010|00000011|00000000|
| | 00000101|00010100|00000100|00000001|
| | 00000111|00011000|00000100|00000001|
| | 00000001|00000011|00000011|00000000|
| | 00010111|01011100|00000100|00000001|
| | 00000100|00010000|00000100|00000001|
| | 00000110|00010010|00000011|00000000|
| | 00000101|00010100|00000100|00000001|
